9*+--------key	message
app	Verbatim
editio	Titres
editio.annus	Année
editio.auctor	Auteur
editio.caption	Table des titres
editio.clavis	Cote
editio.editor	Éditeur
editio.titulus	Titre
editio.volumen	Volume
conc.noq	Pour obtenir un résultat, entrez un mot ou un lemme soit en caractères grecs (les accents, esprits et iotas souscrits ne sont pas pris en compte), soit en caractères latins (en suivant les conventions du Beta code : z = ζ, h = η, q = θ, c = ξ, f = φ, x = χ, y = ψ, w = ω).
conc.nowords	%s : mot non trouvé. Pour obtenir un résultat, entrez un mot ou un lemme soit en caractères grecs (les accents, esprits et iotas souscrits ne sont pas pris en compte), soit en caractères latins (en suivant les conventions du Beta code : z = ζ, h = η, q = θ, c = ξ, f = φ, x = χ, y = ψ, w = ω).
conc.search	%s occurences trouvées pour la requête : « %s »
conc.lem	%s occurences trouvées pour le lemme : « %s »
conc.lems	%s occurences trouvées pour les lemmes : « %s »
conc.orth	%s occurences trouvées pour la forme : « %s »
conc.orths	%s occurences trouvées pour les formes : « %s »
cts.bad	"<p><b>%s</b> n’est pas un motif cts valide sur ce site (les ressources servies ici sont identifiées par des urn de type <b>urn:cts:greekLit:tlg…</b>, cf. <a href=""http://cite-architecture.github.io/ctsurn_spec/"">Spécifications</a>)</p>"
cts.notfound	"<p>L’identifiant <b>%s</b> ne correspond pas à un document connu sur ce site. Voyez la <a href=""opera"">liste des œuvres</a>.</p>"
doc.notfound	<p>Pas de document trouvé pour l’identifiant cts : <b>%s</b></p>',
nostop	Sans “mots vides”
Occs	Occurrences
pos.l	art.
pos.n	nom
pos.a	adj.
pos.p	pron.
pos.v	verbe
pos.d	adv.
pos.r	adp.
pos.c	conj.
pos.i	intj.
pos.u	punct.
pos.x	irr.
pos.-	?
search.indoc	Rechercher dans ce document
search.form	Forme
search.lem	Lemme
